Timestamp,How many years of professional experience do you have as an Android developer?,What presentational design pattern do you apply to your Android apps?,Which programming language do you use for Android application development?,Do you apply Uncle Bob's CLEAN Architecture to your Android applications?,Do you follow SOLID principles while developing Android applications?,Do you follow Uncle Bob's Clean Code principles while developing Android applications?,What networking library do you use?,How do you handle asynchronous events in your Android applications?,What dependency injection library do you use in your Android applications?,"Do you use Android Architecture Components in your Android applications? (LiveData, ViewModel, Room, etc.)",How many years of professional experience do you have as an Android developer?,Do you apply Uncle Bob's CLEAN Architecture to your Android applications?
April 2020,5+,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,Yes,5,1
April 2020,3,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,No,3,1
April 2020,1,MVVM,Java,Who the hack is Uncle Bob?,Yes,Who the hack is Uncle Bob?,Retrofit/OkHttp,AsyncTask,None,Yes,1,2
April 2020,2,MVVM,Kotlin,Maybe,Yes,Yes,Retrofit/OkHttp,RxJava,Koin,Yes,2,3
May 2020,4,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,Yes,4,1
May 2020,5+,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,Yes,5,1
May 2020,2,MVP,Kotlin,Maybe,Yes,No,Retrofit/OkHttp,Kotlin Coroutines,None,No,2,3
May 2020,1,MVC,Java,Maybe,Maybe,Maybe,None,RxJava,None,Yes,1,3
May 2020,5+,MVVM,Kotlin,Maybe,Yes,Maybe,Retrofit/OkHttp,RxJava,Dagger 2,Yes,5,3
May 2020,2,MVC,Java,No,Yes,No,Retrofit/OkHttp,RxJava,Dagger 2,Yes,2,0
May 2020,5+,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,Yes,5,1
May 2020,3,MVVM,Kotlin,Maybe,Maybe,Maybe,Retrofit/OkHttp,RxJava,Dagger 2,Yes,3,3
May 2020,Less than a year,MVVM,Kotlin,Yes,Yes,Yes,None,AsyncTask,Dagger 2,Yes,0,1
May 2020,1,MVC,Java,No,What the hack is SOLID?,No,None,Other,What the hack is DI?,Maybe,1,0
May 2020,5+,MVVM,Kotlin,Yes,Yes,Yes,Retrofit/OkHttp,RxJava,Dagger 2,Yes,5,1
